category_name,order_region,order_volume,gross_revenue,net_profit,profit_margin_pct
Cleats,US Center ,691,156393.93,17444.51,11.15
Shop By Sport,Western Europe,1542,202710.88,17389.99,8.58
Water Sports,Southern Europe,737,166941.72,17202.8,10.3
Men's Footwear,Southern Europe,987,152218.3,16971.38,11.15
Cleats,East of USA,784,170011.66,16912.34,9.95
Camping & Hiking,East of USA,512,170388.65,16882.8,9.91
Men's Footwear,Oceania,955,148448.59,16505.12,11.12
Water Sports,Caribbean,670,148792.56,16243.02,10.92
Water Sports,West of USA ,644,145392.73,16177.36,11.13
Indoor/Outdoor Games,Northern Europe,884,154638.12,16167.49,10.46
Fishing,Eastern Asia,550,249987.51,16098.72,6.44
Computers,Southern Europe,73,109500.0,16071.97,14.68
Camping & Hiking,US Center ,419,139490.71,16021.85,11.49
Water Sports,Oceania,668,152792.36,15973.34,10.45
Women's Apparel,US Center ,638,113300.0,15701.96,13.86
Cardio Equipment,East of USA,445,148525.26,15636.48,10.53
Camping & Hiking,Caribbean,591,198286.79,15556.03,7.85
Women's Apparel,East of USA,732,127600.0,15472.4,12.13
Cardio Equipment,Oceania,604,195310.59,15465.51,7.92
Indoor/Outdoor Games,East of USA,649,111805.26,15159.53,13.56
Camping & Hiking,South of  USA ,293,97793.48,15149.62,15.49
Cleats,Eastern Asia,681,145055.82,15053.01,10.38
Camping & Hiking,Eastern Asia,395,132891.14,15009.38,11.29
Indoor/Outdoor Games,Oceania,857,147291.06,14916.02,10.13
Children's Clothing,Western Europe,317,113200.7,14722.6,13.01
Men's Footwear,Caribbean,884,137269.45,14662.6,10.68
Cameras ,Western Europe,320,144652.8,14613.29,10.1
Women's Apparel,Caribbean,832,144700.0,14606.92,10.09
Computers,Northern Europe,74,111000.0,14409.7,12.98
Cardio Equipment,West of USA ,512,166953.48,14407.6,8.63
Indoor/Outdoor Games,Caribbean,821,142742.88,14401.96,10.09
Indoor/Outdoor Games,Southeast Asia,780,137295.06,14359.96,10.46
Women's Apparel,Oceania,865,153050.0,14295.29,9.34
Fishing,Eastern Europe,339,151592.42,13762.59,9.08
Indoor/Outdoor Games,West of USA ,743,126499.38,13696.53,10.83
Cardio Equipment,Eastern Asia,401,127367.37,13662.28,10.73
Camping & Hiking,West Asia,426,139790.69,13546.69,9.69
Water Sports,East of USA,573,130193.49,13466.85,10.34
Cleats,West Asia,716,160233.29,13263.64,8.28
Cardio Equipment,Southeast Asia,488,159534.18,13124.77,8.23
Cardio Equipment,South Asia,438,137136.39,12998.53,9.48
Women's Apparel,Southeast Asia,811,141500.0,12655.09,8.94
Men's Footwear,East of USA,748,116471.04,12649.35,10.86
Garden,Southeast Asia,126,67105.08,12610.03,18.79
Men's Footwear,West Asia,685,104381.97,12554.23,12.03
Men's Footwear,South Asia,738,113741.25,12374.31,10.88
Cleats,South of  USA ,481,103842.69,12324.11,11.87
Water Sports,West Asia,469,106594.67,12211.63,11.46
Men's Footwear,Southeast Asia,802,123100.54,12152.33,9.87
Cardio Equipment,West Asia,393,122627.85,12108.13,9.87
Shop By Sport,South America,874,115662.35,12087.97,10.45
Women's Apparel,West Asia,638,111150.0,12041.46,10.83
Water Sports,Eastern Asia,474,106794.66,11853.97,11.1
Women's Apparel,South Asia,652,114350.0,11759.97,10.28
Cardio Equipment,US Center ,338,112298.82,11593.74,10.32
Men's Footwear,West of USA ,891,134799.64,11501.95,8.53
Men's Footwear,US Center ,679,103212.06,11463.31,11.11
Indoor/Outdoor Games,Eastern Asia,594,106257.48,11339.1,10.67
Cleats,Eastern Europe,462,104322.61,11137.2,10.68
Computers,Eastern Asia,32,48000.0,11117.85,23.16
Indoor/Outdoor Games,South Asia,621,104408.22,11111.1,10.64
Water Sports,South Asia,523,116794.16,11009.71,9.43
Women's Apparel,Eastern Asia,597,101450.0,10882.04,10.73
Indoor/Outdoor Games,US Center ,572,99160.32,10781.91,10.87
Fishing,North Africa,278,127593.62,10606.64,8.31
Cardio Equipment,West Africa,237,77772.27,10302.35,13.25
Cardio Equipment,Eastern Europe,256,84821.61,10049.85,11.85
Water Sports,US Center ,428,97595.12,9861.51,10.1
Cleats,West Africa,422,93404.43,9765.04,10.45
Women's Apparel,South of  USA ,436,76550.0,9362.02,12.23
Water Sports,Eastern Europe,290,64396.78,9337.77,14.5
Crafts,Western Europe,125,57685.0,9196.04,15.94
Cleats,North Africa,395,88065.32,9195.47,10.44
Men's Footwear,Eastern Asia,676,104381.97,8847.57,8.48
Water Sports,West Africa,301,67196.64,8724.21,12.98
Water Sports,Southeast Asia,603,136393.18,8706.47,6.38
Women's Apparel,Eastern Europe,412,72600.0,8504.44,11.71
Cameras ,Northern Europe,137,61929.48,8324.28,13.44
Camping & Hiking,West Africa,260,86994.2,8196.92,9.42
Women's Clothing,Southeast Asia,221,47696.22,8145.15,17.08
Shop By Sport,Northern Europe,500,64744.37,8136.62,12.57
Shop By Sport,Southern Europe,513,65923.87,8063.41,12.23
Cardio Equipment,South of  USA ,261,82221.84,8025.92,9.76
Computers,Southeast Asia,35,52500.0,8014.64,15.27
Camping & Hiking,Eastern Europe,279,95393.64,7880.96,8.26
Men's Footwear,West Africa,388,59535.42,7812.97,13.12
Fishing,Southern Africa,110,49997.5,7727.23,15.46
Water Sports,North Africa,273,61396.93,7588.57,12.36
Men's Footwear,South of  USA ,461,70194.6,7571.81,10.79
Garden,Oceania,119,63377.02,7537.68,11.89
Cardio Equipment,North Africa,214,68433.21,7471.38,10.92
Indoor/Outdoor Games,Eastern Europe,409,73320.66,7453.44,10.17
Women's Apparel,North Africa,320,54700.0,7228.81,13.22
Shop By Sport,West of USA ,452,60285.36,7050.37,11.69
Indoor/Outdoor Games,West Asia,570,99860.04,6976.21,6.99
Garden,Eastern Asia,153,81484.74,6889.09,8.45
Men's Footwear,North Africa,349,55765.71,6639.94,11.91
Indoor/Outdoor Games,North Africa,325,56527.38,6603.19,11.68
Fishing,Canada,60,27598.62,6567.47,23.8
Indoor/Outdoor Games,West Africa,362,63424.62,6549.86,10.33
Men's Footwear,Eastern Europe,420,65514.96,6536.03,9.98
Garden,South Asia,86,45801.88,6406.21,13.99
Electronics,Central America,479,58194.42,6391.82,10.98
Shop By Sport,East of USA,444,56336.31,6318.97,11.22
Cardio Equipment,Central Africa,109,34596.57,6275.32,18.14
Camping & Hiking,East Africa,130,42897.14,5853.58,13.65
Cardio Equipment,East Africa,129,50005.05,5823.14,11.65
Water Sports,South of  USA ,328,72396.38,5809.58,8.02
Shop By Sport,South Asia,402,53196.93,5696.34,10.71
Shop By Sport,Caribbean,501,64434.39,5650.57,8.77
Cameras ,Southern Europe,118,53340.72,5639.57,10.57
Consumer Electronics,Western Europe,155,39196.4,5474.39,13.97
Shop By Sport,West Asia,343,42549.66,5409.89,12.71
Shop By Sport,Oceania,499,63944.4,5400.68,8.45
Electronics,Western Europe,317,38433.22,5151.24,13.4
Water Sports,East Africa,155,35198.24,5132.24,14.58
Fishing,East Africa,167,79196.04,5040.91,6.37
Cleats,Central Africa,207,41273.12,5003.84,12.12
Indoor/Outdoor Games,East Africa,179,32337.06,4979.87,15.4
Shop By Sport,Eastern Asia,354,45318.99,4796.19,10.58
Cleats,East Africa,224,49971.67,4795.18,9.6
Health and Beauty,Southeast Asia,116,33992.64,4685.97,13.79
Women's Clothing,Oceania,178,38415.96,4653.36,12.11
Crafts,Southeast Asia,72,33226.56,4573.03,13.76
Music,Oceania,125,32581.25,4572.98,14.04
Indoor/Outdoor Games,South of  USA ,389,65273.88,4565.41,6.99
Women's Apparel,West Africa,408,71150.0,4563.83,6.41
Sporting Goods,Southeast Asia,108,35397.0,4527.16,12.79
Men's Footwear,East Africa,208,32107.53,4488.79,13.98
Fishing,Central Africa,147,67196.64,4459.01,6.64
Electronics,South America,251,31124.24,4112.35,13.21
Music,South Asia,96,25022.4,4068.22,16.26
Crafts,South Asia,64,29534.72,3955.44,13.39
Men's Footwear,Southern Africa,137,20408.43,3926.34,19.24
Camping & Hiking,Southern Africa,80,27298.18,3879.22,14.21
Girls' Apparel,Central America,186,24223.51,3871.2,15.98
Shop By Sport,US Center ,336,41329.92,3857.09,9.33
Health and Beauty,South Asia,87,25494.48,3825.82,15.01
Camping & Hiking,North Africa,206,69895.34,3613.84,5.17
Children's Clothing,Northern Europe,100,35710.0,3562.43,9.98
Camping & Hiking,Central Africa,111,38097.46,3546.44,9.31
Cardio Equipment,Southern Africa,79,26367.39,3526.27,13.37
Kids' Golf Clubs,Western Europe,159,47228.65,3522.29,7.46
Cardio Equipment,Canada,68,24587.55,3477.36,14.14
Golf Shoes,Central America,108,20668.0,3380.71,16.36
Shop By Sport,Southeast Asia,440,56006.34,3350.63,5.98
Women's Apparel,East Africa,179,29650.0,3242.74,10.94
Women's Clothing,Eastern Asia,110,23740.2,3221.36,13.57
Cleats,Canada,122,25675.72,3206.88,12.49
Women's Clothing,South Asia,141,30430.62,3082.98,10.13
Women's Apparel,Central Africa,172,32650.0,2994.88,9.17
Electronics,West Asia,116,14494.34,2978.45,20.55
Music,Eastern Asia,102,26586.3,2970.33,11.17
Sporting Goods,South Asia,79,25892.25,2945.82,11.38
Indoor/Outdoor Games,Central Africa,165,27538.98,2941.52,10.68
Kids' Golf Clubs,Central America,63,14883.31,2929.71,19.68
Boxing & MMA,Central America,66,13980.26,2907.01,20.79
Accessories,Central America,277,20516.79,2841.83,13.85
Music,Southeast Asia,111,28932.15,2824.79,9.76
Golf Shoes,Western Europe,112,23632.0,2800.23,11.85
Baseball & Softball,Central America,109,15722.1,2798.93,17.8
DVDs,Oceania,88,14465.44,2793.85,19.31
Electronics,Oceania,193,21929.35,2765.89,12.61
Golf Gloves,Western Europe,152,24551.41,2726.96,11.11
Shop By Sport,North Africa,172,22184.61,2664.53,12.01
Crafts,Northern Europe,61,28150.28,2649.5,9.41
Children's Clothing,Southern Europe,105,37495.5,2646.38,7.06
Children's Clothing,Southeast Asia,67,23925.7,2622.29,10.96
Sporting Goods,Oceania,89,29169.75,2612.58,8.96
Strength Training,Western Europe,57,28091.71,2546.77,9.07
Cleats,Central Asia,65,15117.48,2543.74,16.83
Shop By Sport,West Africa,209,26843.46,2534.35,9.44
Cleats,Southern Africa,129,25735.71,2462.58,9.57
Men's Footwear,Central Africa,167,27167.91,2458.06,9.05
Water Sports,Central Africa,129,29398.53,2451.87,8.34
Water Sports,Southern Africa,85,18999.05,2450.48,12.9
Shop By Sport,South of  USA ,233,29422.86,2450.33,8.33
Sporting Goods,Eastern Asia,81,26547.75,2433.05,9.16
Camping & Hiking,Canada,70,24298.38,2430.69,10.0
Women's Apparel,Southern Africa,118,20950.0,2385.5,11.39
Indoor/Outdoor Games,Southern Africa,111,18842.46,2328.98,12.36
Men's Clothing,Oceania,58,12229.3,2301.7,18.82
Water Sports,Canada,82,18399.08,2268.41,12.33
Golf Gloves,Central America,159,18490.58,2249.12,12.16
Accessories,Western Europe,182,13844.46,2230.73,16.11
Electronics,South Asia,151,19294.0,2208.04,11.44
Electronics,West of USA ,168,19969.85,2198.01,11.01
Electronics,Caribbean,141,17211.65,2197.88,12.77
Consumer Electronics,Oceania,38,9609.44,2114.42,22.0
Fishing,Central Asia,55,25598.72,2105.98,8.23
Crafts,Eastern Asia,63,29073.24,2044.54,7.03
Electronics,Southern Europe,98,12805.65,1970.29,15.39
Shop By Sport,Eastern Europe,227,28323.03,1952.4,6.89
Women's Golf Clubs,Western Europe,69,18338.33,1934.47,10.55
Cardio Equipment,Central Asia,36,9919.02,1919.55,19.35
Hunting & Shooting,Western Europe,75,12097.86,1829.59,15.12
Indoor/Outdoor Games,Canada,93,16693.32,1791.29,10.73
Golf Shoes,South America,56,12275.0,1781.27,14.51
Soccer,Central America,36,7189.18,1776.02,24.7
Hockey,Western Europe,82,11431.8,1746.17,15.27
Electronics,East of USA,135,17103.66,1738.75,10.17
Golf Balls,Central America,230,12343.99,1733.8,14.05
Golf Gloves,Southern Europe,51,9038.71,1724.46,19.08
Accessories,South America,149,11245.5,1710.42,15.21
Shop By Sport,East Africa,103,13066.77,1684.33,12.89
Electronics,Southeast Asia,198,22684.22,1632.01,7.19
Electronics,Eastern Asia,118,14602.15,1592.52,10.91
Crafts,Oceania,54,24919.92,1574.21,6.32
Boxing & MMA,Western Europe,68,15921.77,1557.93,9.78
Girls' Apparel,Caribbean,62,7839.59,1557.76,19.87
Crafts,Southern Europe,45,20766.6,1538.41,7.41
Consumer Electronics,Northern Europe,56,14161.28,1502.13,10.61
Baseball & Softball,South America,61,8968.43,1500.49,16.73
Men's Golf Clubs,Western Europe,97,16818.47,1497.4,8.9
Men's Footwear,Central Asia,76,11179.14,1472.26,13.17
Cameras ,Southeast Asia,12,5424.48,1450.68,26.74
Trade-In,Western Europe,101,10757.34,1444.66,13.43
Boxing & MMA,Caribbean,19,4893.53,1430.77,29.24
Golf Shoes,Northern Europe,35,8120.0,1429.96,17.61
Tennis & Racquet,Central America,45,6028.66,1418.62,23.53
Girls' Apparel,Western Europe,130,16098.7,1408.26,8.75
Indoor/Outdoor Games,Central Asia,57,10045.98,1401.04,13.95
Electronics,North Africa,78,9896.5,1399.45,14.14
Children's Clothing,Eastern Asia,22,7856.2,1397.17,17.78
Women's Golf Clubs,Central America,40,8469.26,1386.47,16.37
Kids' Golf Clubs,Northern Europe,51,12599.1,1342.59,10.66
Consumer Electronics,Southeast Asia,57,14414.16,1331.19,9.24
DVDs,Southeast Asia,76,12492.88,1319.3,10.56
DVDs,Eastern Asia,58,9534.04,1297.08,13.6
Children's Clothing,South Asia,21,7499.1,1295.1,17.27
Girls' Apparel,West of USA ,71,9179.41,1282.99,13.98
Girls' Apparel,South America,97,12649.25,1275.93,10.09
Women's Apparel,Central Asia,53,10000.0,1272.1,12.72
Consumer Electronics,South Asia,32,8092.16,1265.35,15.64
Men's Golf Clubs,South America,38,6469.44,1264.47,19.55
Camping & Hiking,Central Asia,35,11699.22,1250.01,10.68
Pet Supplies,Oceania,145,12238.0,1232.25,10.07
Women's Apparel,Canada,100,17500.0,1225.86,7.0
Men's Footwear,Canada,105,15728.79,1224.09,7.78
Girls' Apparel,Southeast Asia,71,8619.66,1206.77,14.0
Golf Apparel,Western Europe,88,8598.28,1165.32,13.55
Hunting & Shooting,Northern Europe,27,5795.51,1144.03,19.74
Basketball,Northern Europe,9,3699.9,1133.8,30.64
Electronics,Eastern Europe,94,11746.99,1132.11,9.64
Girls' Apparel,South Asia,55,8209.67,1127.27,13.73
Shop By Sport,Southern Africa,71,8198.01,1107.62,13.51
As Seen on  TV!,Western Europe,21,6399.36,1093.31,17.08
Baseball & Softball,Caribbean,33,5249.0,1040.28,19.82
Lacrosse,Central America,83,10697.55,1039.44,9.72
Golf Gloves,South America,113,12436.75,1025.82,8.25
Fitness Accessories,Western Europe,36,6324.0,1020.94,16.14
Trade-In,Central America,145,11417.91,990.91,8.68
Men's Golf Clubs,Northern Europe,31,4739.58,985.01,20.78
Lacrosse,Western Europe,38,6023.94,983.63,16.33
Baseball & Softball,Western Europe,76,11828.17,975.47,8.25
Golf Balls,South America,123,7137.95,973.96,13.64
Men's Golf Clubs,Central America,64,10669.05,972.66,9.12
Golf Apparel,Central America,74,6078.48,958.78,15.77
Accessories,Southeast Asia,103,7671.93,955.81,12.46
Baseball & Softball,Southern Europe,30,4164.41,955.32,22.94
Golf Bags & Carts,Western Europe,22,3739.78,945.43,25.28
Computers,South Asia,14,21000.0,943.39,4.49
Children's Clothing,Oceania,20,7142.0,932.13,13.05
Pet Supplies,South Asia,76,6414.4,929.02,14.48
Consumer Electronics,Southern Europe,74,18713.12,928.58,4.96
Trade-In,South America,102,7384.98,914.94,12.39
Golf Balls,Caribbean,70,3661.94,892.18,24.36
Electronics,Northern Europe,115,13060.62,876.87,6.71
Golf Gloves,Caribbean,57,5913.21,875.23,14.8
Tennis & Racquet,South America,29,4364.03,873.01,20.0
Golf Gloves,Oceania,51,4418.43,864.44,19.56
Accessories,West of USA ,92,7422.03,859.71,11.58
DVDs,South Asia,46,7561.48,857.84,11.34
Strength Training,Southern Europe,12,8544.93,848.22,9.93
Accessories,Northern Europe,58,4323.27,846.2,19.57
Golf Balls,Eastern Asia,71,3919.78,842.27,21.49
Lacrosse,Northern Europe,23,3599.31,841.29,23.37
Video Games,Oceania,188,7473.0,841.24,11.26
Girls' Apparel,Eastern Asia,52,6744.73,838.67,12.43
Water Sports,Central Asia,40,8199.59,825.12,10.06
Girls' Apparel,West Asia,48,5504.61,818.66,14.87
Kids' Golf Clubs,Southern Europe,49,13140.2,811.39,6.17
Girls' Apparel,Southern Europe,39,4914.56,804.81,16.38
Pet Supplies,Southeast Asia,141,11900.4,794.74,6.68
Accessories,US Center ,87,5897.64,788.93,13.38
Electronics,East Africa,37,4494.92,774.68,17.23
Baseball & Softball,US Center ,25,4414.11,768.17,17.4
DVDs,Northern Europe,59,9698.42,752.47,7.76
Golf Shoes,East of USA,17,4355.0,750.87,17.24
Golf Shoes,West of USA ,16,2730.0,742.67,27.2
Girls' Apparel,Oceania,57,8149.66,736.45,9.04
Accessories,East of USA,78,5922.63,735.47,12.42
Health and Beauty,Eastern Asia,83,24322.32,734.95,3.02
Golf Gloves,Northern Europe,66,11253.59,730.49,6.49
Hunting & Shooting,South America,47,5921.14,719.44,12.15
Shop By Sport,Central Africa,110,14336.55,716.73,5.0
Soccer,South America,11,3049.63,714.11,23.42
Accessories,North Africa,41,3498.6,703.06,20.1
Video Games,Southeast Asia,251,9977.25,699.91,7.02
Fitness Accessories,Central America,42,4233.79,696.98,16.46
Trade-In,West of USA ,55,3226.2,680.96,21.11
Accessories,Oceania,101,7546.98,680.79,9.02
Golf Balls,Western Europe,148,7952.45,670.54,8.43
Boxing & MMA,East of USA,19,3133.29,646.37,20.63
Golf Gloves,West of USA ,57,3873.39,643.9,16.62
Baseball & Softball,Northern Europe,24,4014.31,642.26,16.0
Accessories,Eastern Europe,50,4098.36,634.63,15.48
Pet Supplies,Eastern Asia,130,10972.0,633.25,5.77
Women's Golf Clubs,South America,22,5489.5,631.86,11.51
Video Games,South Asia,194,7711.5,628.87,8.15
Baseball & Softball,West of USA ,29,3819.23,617.21,16.16
Consumer Electronics,Eastern Asia,19,4804.72,607.34,12.64
Hunting & Shooting,Central America,76,10432.15,602.56,5.78
Boxing & MMA,West Asia,14,2088.86,590.53,28.27
Books ,Western Europe,212,6588.96,590.02,8.95
Fitness Accessories,Northern Europe,16,3269.55,585.21,17.9
Women's Golf Clubs,Caribbean,12,2669.78,583.14,21.84
Trade-In,Caribbean,48,4112.52,573.45,13.94
Hockey,Central America,88,5959.0,567.53,9.52
Men's Golf Clubs,Southern Europe,37,6369.43,565.69,8.88
Golf Gloves,US Center ,35,2688.9,558.2,20.76
Baseball & Softball,Oceania,38,5453.82,555.51,10.19
Soccer,Northern Europe,13,2199.77,549.88,25.0
Video Games,Eastern Asia,205,8148.75,547.5,6.72
Baseball & Softball,North Africa,14,2589.51,534.55,20.64
Electronics,South of  USA ,94,10654.25,529.15,4.97
Tennis & Racquet,West of USA ,18,2969.34,527.86,17.78
Soccer,Southern Europe,17,3424.6,526.02,15.36
Shop By Sport,Canada,58,7448.22,511.14,6.86
Electronics,Central Africa,32,3890.97,510.26,13.11
Golf Shoes,Eastern Asia,11,2210.0,507.78,22.98
Tennis & Racquet,Western Europe,27,3869.14,500.29,12.93
Basketball,Western Europe,43,19799.55,493.62,2.49
Hockey,South America,50,3398.0,491.66,14.47
Golf Shoes,Southern Europe,34,8302.0,490.37,5.91
Baseball & Softball,South of  USA ,18,2319.48,488.53,21.06
Lacrosse,South America,29,3699.18,480.53,12.99
Golf Bags & Carts,Central America,14,2379.86,479.78,20.16
Golf Shoes,South Asia,19,4355.0,468.2,10.75
Kids' Golf Clubs,Caribbean,16,3226.46,463.31,14.36
Accessories,Southern Europe,70,5672.73,461.81,8.14
Girls' Apparel,South of  USA ,34,4679.69,461.73,9.87
Hunting & Shooting,Oceania,17,1889.37,460.82,24.39
Girls' Apparel,West Africa,27,3244.95,459.44,14.16
Hockey,Southeast Asia,40,2365.0,455.17,19.25
Electronics,Southern Africa,26,3278.19,452.15,13.79
Golf Apparel,South America,34,3109.39,452.11,14.54
Boxing & MMA,South Asia,13,2033.89,450.76,22.16
Trade-In,Southern Europe,33,3565.17,446.91,12.54
Baby ,Western Europe,35,2067.8,443.63,21.45
Accessories,South Asia,80,6447.42,441.15,6.84
Golf Balls,East of USA,56,2805.39,435.6,15.53
Girls' Apparel,Eastern Europe,32,4169.74,432.86,10.38
Golf Gloves,South of  USA ,22,2349.21,429.45,18.28
Girls' Apparel,US Center ,49,6159.53,427.94,6.95
Golf Balls,Southern Europe,64,3772.86,427.35,11.33
Trade-In,US Center ,35,2112.81,427.21,20.22
Cameras ,Oceania,2,904.08,418.72,46.31
Golf Balls,Eastern Europe,46,2355.66,417.97,17.74
Soccer,Western Europe,49,9064.03,416.3,4.59
Accessories,Central Africa,20,1699.32,415.61,24.46
Tennis & Racquet,Oceania,20,2564.43,412.19,16.07
Baby ,Eastern Asia,37,2185.96,409.12,18.72
Baseball & Softball,South Asia,23,3724.2,408.59,10.97
Accessories,West Asia,81,5922.63,394.83,6.67
Accessories,West Africa,44,3223.71,390.99,12.13
Trade-In,South Asia,41,2196.81,389.37,17.72
Fitness Accessories,Southeast Asia,16,1294.63,382.26,29.53
Accessories,Eastern Asia,62,4748.1,373.93,7.88
Hunting & Shooting,Southern Europe,26,4157.5,373.26,8.98
Boxing & MMA,US Center ,9,1209.34,373.14,30.85
Baseball & Softball,East of USA,28,4759.04,371.07,7.8
Golf Balls,West Asia,63,3102.23,369.83,11.92
Trade-In,East of USA,38,2058.93,367.86,17.87
Hockey,West Asia,30,1961.0,366.89,18.71
Accessories,South of  USA ,44,3348.66,366.48,10.94
Hockey,South of  USA ,22,1503.0,363.42,24.18
Fitness Accessories,Southern Europe,7,1829.8,360.92,19.72
Fitness Accessories,South America,26,2554.27,350.69,13.73
Women's Golf Clubs,Southern Europe,20,4919.54,347.91,7.07
Tennis & Racquet,West Africa,10,1349.7,340.86,25.25
Girls' Apparel,North Africa,17,2069.88,340.5,16.45
Toys,Southeast Asia,199,2296.46,339.62,14.79
Golf Shoes,Central Africa,7,1365.0,333.37,24.42
Boxing & MMA,Eastern Asia,16,2528.62,333.14,13.17
Golf Shoes,US Center ,14,2535.0,331.02,13.06
Fitness Accessories,South Asia,15,1259.64,328.74,26.1
Accessories,Canada,14,1149.54,325.21,28.29
Hockey,Caribbean,29,1929.0,323.36,16.76
Tennis & Racquet,Southern Europe,14,1574.65,322.78,20.5
Golf Bags & Carts,South America,10,1699.9,320.68,18.86
Boxing & MMA,West of USA ,14,2308.74,311.58,13.5
Golf Shoes,South of  USA ,11,2080.0,309.96,14.9
Tennis & Racquet,East of USA,15,1664.63,305.08,18.33
Golf Shoes,Southeast Asia,11,1950.0,301.29,15.45
Fitness Accessories,West of USA ,18,1784.49,300.5,16.84
Trade-In,Northern Europe,47,4766.76,294.32,6.17
Tennis & Racquet,North Africa,10,1349.7,293.76,21.76
Trade-In,West Asia,49,2660.52,287.91,10.82
Baseball & Softball,Southeast Asia,27,3844.23,282.95,7.36
Trade-In,West Africa,27,1575.09,281.81,17.89
Golf Gloves,West Africa,28,1814.19,276.42,15.24
Trade-In,Southeast Asia,47,2514.6,275.42,10.95
Accessories,Caribbean,74,5497.8,272.81,4.96
Baby ,Northern Europe,19,1122.52,271.76,24.21
Baby ,Southern Europe,28,1654.24,271.16,16.39
Baseball & Softball,West Asia,19,2469.43,268.57,10.88
Fitness Accessories,East of USA,10,1049.7,265.74,25.32
Hunting & Shooting,Southeast Asia,15,1109.63,262.99,23.7
Golf Balls,Oceania,94,4806.27,262.62,5.46
Boxing & MMA,Southern Europe,31,6848.37,253.23,3.7
Accessories,East Africa,20,1649.34,252.99,15.34
Boxing & MMA,Northern Europe,29,7628.5,252.07,3.3
Hunting & Shooting,South of  USA ,8,1019.66,249.49,24.47
Fitness Accessories,West Asia,16,1749.5,247.45,14.14
Health and Beauty,Oceania,76,22271.04,246.89,1.11
Lacrosse,Southeast Asia,11,774.69,245.87,31.74
Golf Apparel,Southern Europe,27,2279.53,245.73,10.78
