customer_id,customer_segment,customer_city,customer_country,total_orders,total_items_purchased,total_lifetime_spend,avg_order_value
8314,Corporate,Detroit,EE. UU.,10,73,6891.15,208.82
154,Corporate,Brandon,EE. UU.,8,71,6889.36,229.65
10549,Consumer,Baltimore,EE. UU.,9,79,6881.18,215.04
3879,Consumer,Caguas,Puerto Rico,7,58,6879.43,264.59
8018,Consumer,Grove City,EE. UU.,9,82,6849.28,207.55
4022,Consumer,Garland,EE. UU.,9,73,6849.27,236.18
9743,Home Office,San Francisco,EE. UU.,10,67,6828.29,220.27
3199,Corporate,New York,EE. UU.,10,81,6828.07,184.54
12039,Consumer,Caguas,Puerto Rico,9,67,6823.15,184.41
2074,Corporate,Caguas,Puerto Rico,9,81,6821.15,200.62
11426,Consumer,Caguas,Puerto Rico,11,82,6814.28,179.32
11983,Consumer,Chicago,EE. UU.,9,73,6801.16,212.54
10175,Home Office,Brooklyn,EE. UU.,11,70,6799.16,199.98
6049,Consumer,Florissant,EE. UU.,11,58,6789.38,234.12
8170,Consumer,Henderson,EE. UU.,8,67,6783.26,211.98
5168,Consumer,Fort Worth,EE. UU.,8,82,6781.14,226.04
8964,Home Office,Louisville,EE. UU.,9,60,6779.42,260.75
2224,Corporate,Caguas,Puerto Rico,9,60,6774.46,218.53
5001,Consumer,Caguas,Puerto Rico,8,63,6769.47,250.72
2595,Consumer,Caguas,Puerto Rico,8,65,6769.28,250.71
3550,Consumer,Philadelphia,EE. UU.,11,66,6767.23,211.48
7892,Consumer,Dallas,EE. UU.,8,79,6766.21,233.32
7358,Consumer,Carmichael,EE. UU.,9,70,6754.21,182.55
437,Consumer,Caguas,Puerto Rico,10,69,6750.27,204.55
2740,Corporate,Caguas,Puerto Rico,6,56,6749.41,269.98
10829,Consumer,Caguas,Puerto Rico,10,68,6749.26,210.91
1012,Corporate,Silver Spring,EE. UU.,10,73,6749.06,204.52
5563,Corporate,West Chester,EE. UU.,11,79,6744.06,187.34
5173,Home Office,Corona,EE. UU.,11,74,6723.21,203.73
4491,Consumer,Elmhurst,EE. UU.,8,66,6719.38,231.7
2113,Home Office,Harvey,EE. UU.,9,71,6713.23,191.81
5371,Corporate,Caguas,Puerto Rico,8,56,6704.45,216.27
1588,Corporate,Caguas,Puerto Rico,11,89,6694.19,159.39
9515,Consumer,Caguas,Puerto Rico,9,45,6689.55,318.55
482,Consumer,Caguas,Puerto Rico,11,76,6689.26,196.74
11503,Corporate,Saginaw,EE. UU.,9,65,6686.38,196.66
6812,Consumer,Cleveland,EE. UU.,10,56,6685.42,267.42
5493,Home Office,Jersey City,EE. UU.,11,85,6684.06,180.65
5072,Corporate,New York,EE. UU.,9,78,6679.43,208.73
12420,Home Office,Caguas,Puerto Rico,8,56,6674.29,230.15
3889,Consumer,Caguas,Puerto Rico,9,68,6670.26,215.17
230,Consumer,Caguas,Puerto Rico,7,52,6648.42,265.94
1025,Home Office,Caguas,Puerto Rico,8,46,6639.55,245.91
4539,Corporate,Houston,EE. UU.,11,70,6632.2,184.23
8820,Home Office,San Jose,EE. UU.,8,57,6619.45,213.53
9897,Consumer,San Jose,EE. UU.,8,62,6619.4,245.16
5867,Consumer,Tallahassee,EE. UU.,9,68,6619.34,213.53
9073,Consumer,Bayamon,Puerto Rico,9,72,6619.24,206.85
6303,Corporate,Elgin,EE. UU.,10,72,6617.26,206.79
58,Consumer,Caguas,Puerto Rico,8,69,6615.16,254.43
7139,Home Office,Baldwin Park,EE. UU.,9,64,6609.28,236.05
1599,Consumer,Caguas,Puerto Rico,9,67,6605.28,220.18
9368,Consumer,Caguas,Puerto Rico,7,67,6604.49,235.87
6977,Consumer,Caguas,Puerto Rico,9,64,6604.47,227.74
4627,Corporate,Arlington Heights,EE. UU.,9,66,6604.36,213.04
3259,Consumer,New York,EE. UU.,10,69,6594.46,199.83
172,Home Office,Chino,EE. UU.,8,86,6591.23,205.98
6143,Consumer,Irving,EE. UU.,9,72,6589.23,219.64
5778,Consumer,Eagle Pass,EE. UU.,7,63,6587.31,235.26
10111,Consumer,Westerville,EE. UU.,12,86,6585.23,173.3
1932,Consumer,Irving,EE. UU.,10,57,6584.24,219.47
7857,Consumer,Caguas,Puerto Rico,10,66,6580.47,188.01
1844,Corporate,Caguas,Puerto Rico,10,52,6579.39,243.68
6953,Home Office,Brooklyn,EE. UU.,7,67,6577.23,219.24
10601,Consumer,Walnut,EE. UU.,8,76,6574.12,212.07
1537,Corporate,Pompano Beach,EE. UU.,8,75,6567.26,211.85
4181,Consumer,Ventura,EE. UU.,9,82,6563.21,226.32
7597,Corporate,Paramount,EE. UU.,11,60,6555.33,204.85
7717,Home Office,Princeton,EE. UU.,8,82,6549.22,218.31
10129,Consumer,Philadelphia,EE. UU.,10,83,6535.28,192.21
1136,Corporate,Ballwin,EE. UU.,8,57,6534.23,225.32
11132,Home Office,Caguas,Puerto Rico,9,77,6533.09,210.74
5560,Corporate,Caguas,Puerto Rico,10,74,6528.21,225.11
11337,Corporate,Danbury,EE. UU.,8,59,6525.33,271.89
1148,Consumer,Augusta,EE. UU.,7,55,6524.42,296.56
4394,Consumer,Provo,EE. UU.,8,67,6514.36,217.15
11534,Consumer,Caguas,Puerto Rico,8,56,6509.44,250.36
12406,Corporate,Caguas,Puerto Rico,9,62,6507.39,216.91
11475,Home Office,Houston,EE. UU.,8,79,6498.3,224.08
5028,Corporate,Miami,EE. UU.,8,65,6495.15,223.97
2197,Consumer,Caguas,Puerto Rico,8,76,6493.22,202.91
1107,Consumer,Waipahu,EE. UU.,9,73,6489.3,223.77
10699,Consumer,Jacksonville,EE. UU.,9,61,6474.44,208.85
9760,Consumer,Caguas,Puerto Rico,8,80,6474.24,215.81
2229,Corporate,Caguas,Puerto Rico,10,88,6473.31,174.95
1445,Consumer,San Diego,EE. UU.,10,88,6473.27,184.95
8861,Consumer,Caguas,Puerto Rico,9,79,6469.2,202.16
7633,Home Office,Caguas,Puerto Rico,10,76,6468.2,179.67
6664,Consumer,Portland,EE. UU.,10,82,6464.99,195.91
11985,Corporate,Perth Amboy,EE. UU.,10,67,6464.41,215.48
4659,Consumer,Caguas,Puerto Rico,7,75,6459.2,239.23
4530,Consumer,Miami,EE. UU.,9,70,6454.28,222.56
11887,Consumer,Caguas,Puerto Rico,9,51,6453.44,208.18
5015,Corporate,Caguas,Puerto Rico,8,87,6449.02,230.32
7001,Consumer,Caguas,Puerto Rico,9,72,6444.22,222.21
5875,Corporate,Philadelphia,EE. UU.,8,73,6429.16,194.82
12221,Home Office,Caguas,Puerto Rico,9,79,6429.03,200.91
7305,Corporate,Brooklyn,EE. UU.,8,66,6428.39,257.14
2220,Corporate,Caguas,Puerto Rico,8,72,6427.35,257.09
197,Consumer,Caguas,Puerto Rico,9,62,6423.33,194.65
11733,Corporate,Yauco,Puerto Rico,8,57,6420.43,207.11
6587,Consumer,Lancaster,EE. UU.,11,57,6409.43,194.23
1417,Corporate,Caguas,Puerto Rico,9,66,6409.25,213.64
8522,Consumer,Findlay,EE. UU.,7,60,6399.42,220.67
3556,Consumer,Caguas,Puerto Rico,8,62,6394.35,236.83
11947,Consumer,Chicago,EE. UU.,7,64,6389.41,212.98
123,Corporate,Bend,EE. UU.,8,55,6389.32,193.62
2860,Corporate,Caguas,Puerto Rico,13,77,6387.28,168.09
5583,Consumer,Caguas,Puerto Rico,9,79,6384.18,199.51
9502,Home Office,El Paso,EE. UU.,8,73,6381.01,199.41
7852,Consumer,San Francisco,EE. UU.,9,58,6379.47,227.84
221,Consumer,Columbus,EE. UU.,13,88,6378.47,187.6
6101,Corporate,Los Angeles,EE. UU.,10,57,6371.33,219.7
7926,Consumer,Freeport,EE. UU.,9,60,6369.4,244.98
1826,Corporate,Caguas,Puerto Rico,11,56,6367.26,205.4
938,Consumer,Madison,EE. UU.,10,58,6364.32,205.3
2330,Consumer,Corona,EE. UU.,9,77,6356.21,192.61
7273,Consumer,Bayamon,Puerto Rico,10,72,6334.16,204.33
1948,Consumer,Caguas,Puerto Rico,7,64,6319.34,217.91
7211,Corporate,Littleton,EE. UU.,8,63,6314.36,210.48
685,Home Office,Caguas,Puerto Rico,10,63,6313.3,233.83
9504,Home Office,Caguas,Puerto Rico,8,54,6309.46,242.67
5952,Consumer,Clearfield,EE. UU.,8,51,6299.49,233.31
1747,Corporate,Burnsville,EE. UU.,9,46,6299.37,242.28
2773,Corporate,Caguas,Puerto Rico,7,68,6299.37,203.21
10375,Consumer,Caguas,Puerto Rico,9,70,6299.14,196.85
5054,Corporate,Brooklyn,EE. UU.,11,73,6293.2,190.7
1426,Consumer,Long Beach,EE. UU.,6,51,6279.58,241.52
6660,Home Office,Spring Valley,EE. UU.,9,81,6278.09,209.27
11218,Consumer,Murfreesboro,EE. UU.,8,57,6277.31,216.46
2626,Consumer,Oceanside,EE. UU.,7,55,6274.36,232.38
4460,Consumer,Los Angeles,EE. UU.,10,69,6273.41,232.35
11738,Corporate,Caguas,Puerto Rico,7,68,6269.25,223.9
11156,Corporate,Caguas,Puerto Rico,8,68,6267.36,208.91
11833,Consumer,Strongsville,EE. UU.,9,70,6264.24,216.01
7460,Consumer,East Brunswick,EE. UU.,8,73,6263.17,202.04
8016,Consumer,Carson,EE. UU.,8,55,6259.4,240.75
2389,Consumer,Memphis,EE. UU.,9,68,6257.14,201.84
3303,Corporate,Caguas,Puerto Rico,9,78,6251.35,195.35
6643,Consumer,Caguas,Puerto Rico,9,76,6249.32,215.49
11134,Consumer,Caguas,Puerto Rico,10,71,6249.11,215.49
6137,Consumer,Tustin,EE. UU.,10,62,6245.37,201.46
10610,Corporate,Caguas,Puerto Rico,8,55,6243.48,222.98
9928,Consumer,Aurora,EE. UU.,8,80,6241.1,178.32
7789,Home Office,Caguas,Puerto Rico,9,54,6239.55,231.09
8156,Corporate,Los Angeles,EE. UU.,9,73,6237.0,194.91
2021,Corporate,West Jordan,EE. UU.,8,56,6231.34,214.87
11295,Corporate,Chula Vista,EE. UU.,8,57,6231.34,222.55
6474,Corporate,Caguas,Puerto Rico,10,77,6224.14,183.06
6213,Corporate,Rock Hill,EE. UU.,12,59,6223.23,194.48
8652,Corporate,Woodside,EE. UU.,10,52,6222.29,214.56
2303,Consumer,Chicago,EE. UU.,7,69,6219.19,222.11
11931,Corporate,Philadelphia,EE. UU.,10,74,6218.2,172.73
5477,Consumer,Caguas,Puerto Rico,7,69,6205.29,221.62
10198,Consumer,Hamilton,EE. UU.,6,44,6199.46,238.44
10108,Home Office,El Paso,EE. UU.,8,87,6199.02,199.97
4599,Consumer,Newark,EE. UU.,10,73,6197.24,193.66
8052,Consumer,La Mesa,EE. UU.,11,72,6189.34,199.66
4588,Consumer,Tampa,EE. UU.,9,63,6188.33,193.39
1285,Home Office,Caguas,Puerto Rico,7,51,6184.37,247.37
5491,Home Office,Caguas,Puerto Rico,8,50,6169.44,246.78
8380,Home Office,Caguas,Puerto Rico,11,66,6169.33,186.95
3031,Consumer,Brooklyn,EE. UU.,8,47,6159.52,256.65
12094,Corporate,Brooklyn,EE. UU.,10,58,6159.41,219.98
11112,Consumer,Caguas,Puerto Rico,8,70,6154.26,205.14
1824,Home Office,Caguas,Puerto Rico,11,58,6151.36,180.92
5519,Corporate,Caguas,Puerto Rico,9,80,6151.23,180.92
6893,Consumer,Caguas,Puerto Rico,9,63,6149.37,245.97
10672,Consumer,Los Angeles,EE. UU.,9,73,6149.09,192.16
5138,Corporate,Ventura,EE. UU.,8,68,6144.19,219.44
10707,Corporate,Caguas,Puerto Rico,8,59,6143.44,204.78
10761,Consumer,Caguas,Puerto Rico,9,47,6134.51,219.09
1578,Consumer,Fort Lauderdale,EE. UU.,8,61,6134.27,245.37
8511,Home Office,Caguas,Puerto Rico,8,58,6131.51,211.43
7664,Corporate,Piscataway,EE. UU.,7,59,6129.34,227.01
1636,Consumer,Fort Washington,EE. UU.,7,63,6129.23,235.74
9107,Consumer,Los Angeles,EE. UU.,11,83,6129.2,185.73
7060,Home Office,Caguas,Puerto Rico,7,65,6128.29,211.32
9597,Home Office,Caguas,Puerto Rico,9,51,6123.46,218.7
7435,Consumer,Caguas,Puerto Rico,9,49,6119.56,218.56
4517,Corporate,Caguas,Puerto Rico,10,70,6119.38,185.44
8078,Corporate,Brooklyn,EE. UU.,7,76,6114.17,197.23
5321,Corporate,Caguas,Puerto Rico,9,60,6110.39,197.11
6266,Consumer,Carolina,Puerto Rico,7,66,6109.19,226.27
6130,Home Office,Tulare,EE. UU.,8,55,6104.41,254.35
3781,Home Office,Hamtramck,EE. UU.,7,48,6099.41,217.84
8664,Consumer,El Cajon,EE. UU.,10,66,6095.35,196.62
11305,Consumer,Caguas,Puerto Rico,8,67,6089.38,234.21
9740,Consumer,San Jose,EE. UU.,11,73,6089.23,196.43
3038,Consumer,Caguas,Puerto Rico,9,76,6083.23,196.23
8071,Home Office,Plano,EE. UU.,7,64,6069.38,233.44
4454,Consumer,San Ramon,EE. UU.,9,65,6069.18,202.31
10008,Corporate,Staten Island,EE. UU.,8,62,6066.35,224.68
1979,Consumer,Caguas,Puerto Rico,9,75,6063.19,195.59
9833,Consumer,Caguas,Puerto Rico,7,48,6059.38,252.47
4290,Corporate,Caguas,Puerto Rico,10,67,6059.28,178.21
11884,Consumer,Caguas,Puerto Rico,9,62,6054.27,208.77
3983,Corporate,Caguas,Puerto Rico,7,63,6049.36,216.05
5175,Corporate,Huntington Park,EE. UU.,8,62,6047.44,215.98
1664,Corporate,Jackson,EE. UU.,7,61,6044.46,201.48
5752,Consumer,Albuquerque,EE. UU.,8,62,6044.42,188.89
4980,Corporate,Brooklyn,EE. UU.,8,76,6038.15,208.21
3800,Consumer,Germantown,EE. UU.,8,56,6033.55,223.46
291,Corporate,Bristol,EE. UU.,5,36,6029.48,274.07
10185,Home Office,Caguas,Puerto Rico,8,59,6023.45,231.67
7190,Consumer,Caguas,Puerto Rico,10,70,6021.28,188.17
4697,Consumer,Caguas,Puerto Rico,8,69,6019.42,231.52
3735,Corporate,El Centro,EE. UU.,8,61,6019.33,222.94
2462,Consumer,Long Beach,EE. UU.,8,71,6015.36,214.83
8524,Consumer,Caguas,Puerto Rico,10,75,6015.32,194.04
697,Consumer,Washington,EE. UU.,10,62,6014.33,187.95
12,Corporate,San Antonio,EE. UU.,8,61,6009.35,214.62
8847,Consumer,Baltimore,EE. UU.,8,71,6007.21,214.54
12205,Corporate,Chicago,EE. UU.,7,59,6001.26,222.27
2537,Home Office,Phoenix,EE. UU.,8,34,5999.53,230.75
11901,Consumer,Saint Louis,EE. UU.,8,60,5999.53,222.2
1014,Consumer,Jamaica,EE. UU.,7,80,5999.2,193.52
8192,Consumer,Houston,EE. UU.,10,71,5994.44,176.31
1972,Consumer,Caguas,Puerto Rico,10,62,5994.32,181.65
11422,Home Office,Moreno Valley,EE. UU.,11,86,5993.96,176.29
4936,Home Office,Caguas,Puerto Rico,9,69,5993.24,193.33
2842,Home Office,Chino Hills,EE. UU.,8,59,5989.49,221.83
2625,Consumer,Caguas,Puerto Rico,11,65,5987.37,193.14
10634,Corporate,Laguna Niguel,EE. UU.,9,72,5986.39,230.25
12235,Consumer,Winnetka,EE. UU.,8,54,5979.56,229.98
9213,Home Office,Rio Grande,Puerto Rico,7,35,5979.52,239.18
1782,Corporate,Fort Worth,EE. UU.,8,69,5979.18,199.31
10635,Consumer,Caguas,Puerto Rico,8,64,5975.36,229.82
1054,Consumer,Chicago,EE. UU.,8,47,5974.48,238.98
7278,Corporate,Tucson,EE. UU.,9,83,5969.95,186.56
10447,Corporate,Caguas,Puerto Rico,9,66,5969.54,205.85
2180,Corporate,Stockbridge,EE. UU.,9,46,5969.44,221.09
10013,Home Office,Caguas,Puerto Rico,10,65,5969.42,205.84
5682,Home Office,Redmond,EE. UU.,10,73,5961.26,180.64
12329,Corporate,Caguas,Puerto Rico,11,47,5959.42,220.72
3099,Consumer,Caguas,Puerto Rico,8,61,5957.35,186.17
4150,Consumer,Madera,EE. UU.,9,43,5955.47,248.14
7432,Consumer,Columbus,EE. UU.,8,62,5954.45,205.33
6623,Corporate,Aurora,EE. UU.,9,65,5954.34,192.08
1149,Consumer,Caguas,Puerto Rico,11,55,5954.32,180.43
1937,Corporate,El Paso,EE. UU.,8,78,5953.12,205.28
3635,Consumer,San Jose,EE. UU.,9,58,5949.45,212.48
10982,Home Office,Caguas,Puerto Rico,8,74,5946.25,198.21
3529,Consumer,Endicott,EE. UU.,9,60,5944.42,237.78
1721,Corporate,Ventura,EE. UU.,6,47,5939.44,269.97
5446,Corporate,Douglasville,EE. UU.,9,57,5939.34,212.12
3257,Consumer,Columbia,EE. UU.,10,75,5939.18,185.6
9153,Consumer,Caguas,Puerto Rico,7,62,5939.13,212.11
542,Home Office,Caguas,Puerto Rico,9,61,5935.44,197.85
3337,Consumer,Baltimore,EE. UU.,10,53,5929.29,211.76
4514,Consumer,West Covina,EE. UU.,8,63,5928.32,204.42
2205,Corporate,Caguas,Puerto Rico,8,60,5926.32,197.54
12106,Corporate,Los Angeles,EE. UU.,7,60,5924.32,257.58
634,Home Office,Riverside,EE. UU.,8,56,5924.29,211.58
5904,Consumer,Caguas,Puerto Rico,9,53,5923.42,185.11
3498,Consumer,Caguas,Puerto Rico,10,71,5922.3,197.41
8920,Home Office,Troy,EE. UU.,8,74,5922.16,197.41
3603,Corporate,Longmont,EE. UU.,9,50,5920.21,204.15
5739,Consumer,East Lansing,EE. UU.,7,68,5919.48,236.78
7744,Consumer,Garden Grove,EE. UU.,7,55,5919.46,236.78
7457,Consumer,El Monte,EE. UU.,8,65,5919.32,204.11
5395,Home Office,San Antonio,EE. UU.,6,55,5919.28,257.36
10831,Consumer,San Diego,EE. UU.,7,70,5912.56,218.98
2708,Corporate,Caguas,Puerto Rico,9,56,5909.27,190.62
688,Consumer,Houston,EE. UU.,7,73,5909.24,246.22
8090,Corporate,Clarksville,EE. UU.,7,56,5899.42,245.81
9590,Consumer,Caguas,Puerto Rico,10,56,5899.34,210.69
9377,Corporate,Philadelphia,EE. UU.,7,49,5899.29,226.9
6970,Corporate,Strongsville,EE. UU.,9,64,5898.3,226.86
5197,Home Office,Caguas,Puerto Rico,9,52,5894.24,203.25
9871,Corporate,Panorama City,EE. UU.,9,50,5890.43,203.12
6959,Consumer,Fairfield,EE. UU.,8,71,5890.25,226.55
2564,Corporate,Amarillo,EE. UU.,4,38,5889.54,327.2
1100,Consumer,Caguas,Puerto Rico,9,61,5889.39,210.34
6473,Consumer,Long Beach,EE. UU.,9,62,5885.36,210.19
5755,Consumer,Chicago,EE. UU.,8,52,5885.29,210.19
1379,Corporate,Caguas,Puerto Rico,8,70,5879.26,189.65
8368,Corporate,Caguas,Puerto Rico,9,64,5874.15,209.79
3373,Consumer,Caguas,Puerto Rico,7,69,5859.34,195.31
3297,Consumer,Moreno Valley,EE. UU.,9,66,5859.21,234.37
8917,Consumer,Caguas,Puerto Rico,8,62,5857.4,209.19
194,Consumer,Caguas,Puerto Rico,7,71,5851.28,225.05
3816,Corporate,Caguas,Puerto Rico,8,55,5849.36,224.98
6862,Consumer,Watsonville,EE. UU.,7,50,5849.36,243.72
8012,Home Office,Hayward,EE. UU.,8,65,5849.34,194.98
4770,Corporate,Caguas,Puerto Rico,8,51,5849.32,265.88
633,Home Office,Caguas,Puerto Rico,9,71,5848.46,194.95
1868,Corporate,Far Rockaway,EE. UU.,9,57,5844.48,201.53
7082,Consumer,Fort Lauderdale,EE. UU.,9,48,5844.39,243.52
1535,Home Office,Caguas,Puerto Rico,8,58,5843.36,201.5
